id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
134;;1000;;9.6688902;0.261;-73.13759;0.229;304.217079;-43.9587996;00 38 40.624;-73 08 15.68;4688892286148227712;4688892286148227712;3719;3042;9141-7910-1
135;;985;;9.7900224;0.017;-3.9926747;0.014;115.1771991;-66.6793841;00 39 09.572;-03 59 33.64;2527616329897376128;2527616329897376128;3644;3082;4675-621-1
136;;1100;;9.8141098;0.019;-83.0329479;0.018;303.3777358;-34.0847546;00 39 15.385;-83 01 58.46;4629864729502803456;4629864729502803456;3988;3087;9490-1383-1
137;;1030;;9.8842204;0.013;-69.724693;0.013;304.4537064;-47.3683766;00 39 32.195;-69 43 28.84;4702533205327599616;4702533205327599616;3787;3103;9135-1719-1
138;?;1010;;10.0495658;0.01;-36.0674833;0.012;317.1993158;-80.7472823;00 40 11.889;-36 04 03.39;5004180062879809536;5004180062879809536;3772;-99.99;7000-1416-1
139;?;990;A;10.0542864;0.064;47.2558276;0.054;120.9558016;-15.5728645;00 40 12.994;+47 15 20.94;390064188178858880;390064188178858880;3700;3159;3253-1628-1
140;;1020;;10.272959;0.016;57.1716148;0.019;121.5231414;-5.6718323;00 41 05.416;+57 10 17.53;424601708138014848;424601708138014848;3777;3227;3663-2226-1
141;*;1050;;10.3264009;0.034;-19.8626633;0.016;104.6811231;-82.372818;00 41 18.314;-19 51 45.86;2362860800307697664;2362860800307697664;3885;-99.99;5849-905-1
142;*;1040;A;10.4006729;0.107;24.6289541;0.054;120.0878947;-38.1884784;00 41 36.025;+24 37 44.52;2806529032199025536;2806529032199025536;3883;3269;1738-1977-1
143;*;1090;A;10.4440501;0.028;-56.501063;0.03;305.6457947;-60.5762469;00 41 46.399;-56 30 04.83;4908315533840351360;4908315533840351360;3980;3277;8469-1595-1
144;;1070;;10.5342729;0.021;-15.3605824;0.012;112.0540536;-78.0354436;00 42 08.209;-15 21 37.93;2370995983762439680;2370995983762439680;-99.99;3305;5847-1556-1
145;;1080;;10.6208528;0.037;27.6428695;0.018;120.5053415;-35.186687;00 42 28.955;+27 38 34.39;2809381474599174016;2809381474599174016;3970;3331;1744-2461-1
146;?;1103;;10.636767;0.026;5.6753412;0.014;118.8546211;-57.1260063;00 42 32.810;+05 40 31.19;2556087977340695808;2556087977340695808;3992;3338;17-302-1
147;;1060;A;10.6671274;0.023;71.3658663;0.023;122.2237744;8.506175;00 42 40.044;+71 21 57.21;536200282927585664;536200282927585664;3891;3348;4303-2013-1
148;;1110;;10.75034;0.015;27.1141006;0.009;120.6194753;-35.7197665;00 43 00.026;+27 06 51.03;2809302000524362752;2809302000524362752;-99.99;-99.99;1741-649-1
149;?;1130;;10.8384262;0.093;-57.4630118;0.094;305.0820932;-59.6314749;00 43 21.233;-57 27 47.01;4908022136034353152;4908022136034353152;4150;3405;8469-1596-1
150;?;1120;;10.8667968;0.101;47.0243818;0.077;121.5201595;-15.825518;00 43 28.058;+47 01 28.40;390019868412760832;390019868412760832;4058;3414;3253-1987-1
151;;1123;;10.9887006;0.017;60.0146373;0.02;121.9959163;-2.8435122;00 43 57.279;+60 00 52.56;427008917049174144;427008917052910976;-99.99;-99.99;4016-120-1
152;;1143;;11.0565683;0.023;-7.8879326;0.012;117.5258583;-70.6839473;00 44 13.568;-07 53 16.50;2522517550881903360;2522517550881903360;4186;3458;5269-126-1
